id,nome
1033,"2,5-Diisopropyl-3-methylphenol"
1034,"2,4-Diisopropyl-5-methylphenol"
1036,"2,3-Diisopropyl-5-methylphenol"
1037,4-Aminobenzoic acid
1044,L-Malic acid
1046,Ractopamine hydrochloride
1053,Harmalol
1054,Ascorbigen
1055,Vulgaxanthin I
1056,Vulgaxanthin II
1057,Betalamic acid
1060,Glycyrrhizin
1061,Glyciram
1062,Cellulase
1066,Nonivamide
1067,"7,7',8,8'-Tetrahydro-beta,beta-carotene"
1068,(-)-trans-Carveol glucoside
1069,(+)-trans-Carveol glucoside
1070,D-Citronellol glucoside
1072,27-Deoxy-5alpha-cyprinol
1073,Methylgingerol
1074,"1,2-Epoxy-1,2,7,7',8,8',11,12-octahydro-psi,psi-carotene"
1075,"1,2-Epoxy-1,2,7,7',8,8',11',12'-octahydro-psi,psi-carotene"
1076,Cochineal Red A
1077,(R)-alpha-Terpinyl glucoside
1079,Cryptochrome
1081,Methyl (xi)-3-nonenoate
1083,Bromelains
1084,Pancreatin
1087,Palmidrol
1088,(E)-2-Octenoic acid
1089,(S)-N-Acetylmethionine
1092,"(3beta,22E)-26,27-Dinorergosta-5,22-dien-3-ol"
1093,"2-Amino-3,8-dimethyl-3H-imidazo[4,5-f]quinoxaline"
1094,Umbelliferone
1096,Isoelemicin
1097,Mangostanol
1100,Sanguiin H4
1104,Tigloidine
1105,Paucine
1106,Pancrelipase
1108,(S)-[6]-Gingerol
1109,D-Tagatose
1110,D-Tartaric acid
1111,Chinese tannin
1112,Tartaric acid
1113,L-Tartaric acid
1114,"alpha,alpha-Trehalose"
1115,Neotrehalose
1116,D-Glucaric acid
1117,Sakebiose
1118,Sambubiose
1119,"2-C-Methyl-1,4-erythrono-D-lactone"
1120,Sorbitan laurate
1121,Sorbitan oleate
1122,Sorbitan palmitate
1123,Sorbitan stearate
1124,Sorbitan trioleate
1125,Sorbitan tristearate
1126,L-Sorbose
1127,Starch acetate
1128,Starch
1129,Asiaticoside B
1130,Amylose
1131,Sucrose
1132,Sucrose octaacetate
1133,Xylan
1134,Xylitol
1135,Xylobiose
1136,D-Xylose
1138,Chiro-Inositol
1139,Cryptoxanthin diepoxide
1141,Inulin
1143,Kojibiose
1144,Calcium lactobionate
1145,Lactose
1146,Lucuminoside
1147,Galactinol
1148,L-Galacto-2-heptulose
1150,Galabiose
1151,4-O-beta-D-Galactopyranosyl-D-galactose
1152,Kaempferol 3-feruloylapioside
1155,Artonin T
1156,Capsianoside C
1157,Capsianoside E
1159,alpha-D-Galactopyranose 1-dihydrogen phosphate
1160,Galacturonic acid
1161,D-Galacturonic acid
1162,Gein
1163,Gentiotriose
1165,N-Glycolylneuraminic acid
1167,Disodium guanylate
1168,Gynocardin
1169,Tetraphyllin B
1170,(-)-Quinic acid
1171,D-4-O-Methyl-myo-inositol
1172,4-O-Methyl-myo-inositol
1175,Maltulose
1176,Isodulcitol
1177,beta-D-3-Ribofuranosyluric acid
1178,Neokestose
1182,Cellulose
1183,Cellulose acetate
1184,Methyl cellulose
1186,gamma-Cyclodextrin
1188,Dextrantriose
1189,6-O-Glucosylmaltose
1190,Maltobionic acid
1191,Maltohexaose
1192,Maltopentaose
1193,Maltose
1194,beta-D-Fructofuranosyl alpha-D-glucopyranosyl-(1->4)-D-glucopyranoside
1195,Maltotetraose
1196,Maltotriose
1197,Mannan
1201,D-Manno-2-heptulose
1202,D-Mannose
1203,Melezitose
1204,Melibiose
1205,Galactaric acid
1207,Panose
1209,N-Acetylneuraminic acid
1211,Adenosine 5'-diphosphate glucose
1213,Acadesine 5'-monophosphate
1214,D-Apiose
1215,beta-D-Apiofuranose
1216,Arabinan
1217,Gum arabic
1218,Arabinose
1219,D-Arabinose
1220,Isomaltose
1221,Arbutin
1223,Ascorbic acid
1224,L-Ascorbic acid
1225,Calcium ascorbate
1226,Sodium ascorbate
1228,Pangamic acid
1230,Punicafolin
1233,D-erythro-D-galacto-octitol
1234,D-glycero-L-galacto-Octulose
1235,D-erythro-L-galacto-Nonulose
1237,Squamocin K
1238,Asitribin
1240,Asimilobin
1241,Annomuricin A
1242,Annoglaucin
1243,Muricatin C
1244,Muricatin A
1245,Fujiglucon
1246,Methyl beta-D-glucopyranoside
1247,Asiminenin B
1248,Annomuricin B
1249,Annomuricin C
1250,Muricatocin B
1251,Muricatocin C
1252,Muricatocin A
1254,Troxerutin
1255,Ethyl beta-D-glucopyranoside
1257,Squamosten A
1258,Coriandrone E
1259,Coriandrone D
1260,Simonin I
1261,Simonin V
1262,Simonin II
1263,Simonin III
1264,Simonin IV
1265,Avenoleic acid
1267,Hexyl acetate
1268,1-Isomangostin
1274,2-O-Methylxylose
1275,(+)-11-Hydroxy-9-triacontanone
1276,Bis(2-furanylmethyl) disulfide
1282,25-Methyl-1-hexacosanol
1283,15-Hentriacontanol
1286,Glabrin A
1287,"12-Hydroxy-8,10-octadecadienoic acid"
1288,Cycloartomunoxanthone
1289,Bissulfine
1291,Nopol
1293,(E)-3-Hexen-1-ol
1294,Austalide B
1295,Austalide A
1298,gamma-Tocotrienol
1299,d-Tocotrienol
1301,Glucoconvallatoxoloside
1302,"(1alpha,3beta,20S,22R,24S,25S)-Pubescenin"
1303,Scutigeral
1304,alpha1-Sitosterol
1305,Stigmastanol
1306,"(3beta,5alpha,24S)-Stigmasta-7,25-dien-3-ol"
1307,"(3beta,5alpha,6beta,24R)-Stigmastane-3,5,6-triol"
1308,7-Oxostigmasterol
1309,Valerenic acid
1310,Vitamin K2
1311,Elenolide
1313,Withanolide B
1314,Fucosterol
1315,Isofucosterol
1316,Ikshusterol
1319,Neogitogenin
1320,Sarsasapogenin
1321,1-Mercapto-2-propanone
1324,3-Methylbutanoic acid
1325,Methyl 3-methylbutanoate
1326,Ethyl isovalerate
1327,Isopentyl isopentanoate
1328,(±)-Sulcatol
1329,(±)-6-Methyl-5-hepten-2-yl acetate
1330,Euglobal Ia1
1332,Euglobal Ib
1333,Euglobal Ic
1334,Euglobal IIa
1336,Euglobal IVa
1339,Euglobal VII
1340,Euglobal V
1342,Melongoside O
1344,Hydroxycitronellol
1345,Ginkgolide M
1346,Isoaustin
1347,Neriantogenin
1348,Isohumulinone A
1350,Asparagoside A
1351,Gitonin
1353,Uttronin A
1354,Smilagenin
1355,Dexamethasone
1356,Melongoside P
1358,Butyl propionate
1359,Neogrifolin
1360,Amasterol
1361,Ostreasterol
1362,Taraxacoside
1363,Isopropyl propionate
1364,Boviquinone 4
1365,1H-Indole-3-acetonitrile
1366,Ethyl propionate
1367,Propyl propionate
1368,Methyl 3-phenylpropanoate
1369,"1,1-Dimethoxyethane"
1370,Methyl propionate
1371,Benzyl propionate
1372,2-Hydroxy-2-methylbutanedioic acid
1373,Cohulupone
1375,Australigenin
1380,(S)-3-Octanol
1381,Albafuran A
1382,Albafuran B
1387,"(3beta,4alpha,5alpha)-4-Methyl-8(14)-cholesten-3-ol"
1388,25-Methyl-24-methylenecholesterol
1389,"4,14-Dimethylergosta-8,25-dien-3-ol"
1390,Biflorin
1395,Diosbulbinoside D
1396,Pubescenol
1397,Synephrine
1398,Shikimic acid 3-phosphate
1399,Gibberellin A84
1400,Dihydrozeatin
1401,2-Methylthio-N6-(delta2-isopentenyl)adenosine
1402,2-Methylthioribosyl-trans-zeatin
1403,5-Hydroxyindole-3-acetic acid
1404,Indole-3-butyric acid
1405,alpha-N-Carbomethoxyacetyl-4-chloro-D-tryptophan
1406,alpha-N-Carboethoxyacetyl-4-chloro-D-tryptophan
1407,2-Phosphoglycerate
1408,4-O-(Indole-3-acetyl)-D-glucopyranose
1409,5-Hydroxyglucobrassicin
1410,5-Methoxyglucobrassicin
1411,(+)-Bottrospicatol
1412,Castasterone
1413,(+/-)-alpha-Thujene
1414,"3,24-Diepicastasterone"
1415,28-Norcastasterone
1416,2-Deoxy-28-homocastasterone
1417,2-Deoxy-25-Methyldolichosterone
1418,3-epi-2-Deoxy-25-methyldolichosterone
1419,3-epi-6-Deoxocastasterone
1420,6-Deoxo-28-homo-dolichosterone
1421,6-Deoxo-25-methyldolichosterone
1422,23-O-beta-D-Glucopyranosyl-25-methyldolichosterone
1423,23-O-beta-D-Glucopyranosyl-2-epi-25-methyldolichosterone
1424,Methyl epijasmonate
1425,Parasorbic acid
1426,2-Thioxothiazolidine-4-carboxylic acid
1427,Methyl pheophorbide a
1428,OPC-4:0
1429,OPC-6:0
